l gap_min gap_avg gap_max tp_min tp_avg tp_max lat_min lat_avg lat_max retries
4 93.0 98.28 118.0 0.0339 0.0407 0.0430 105.0 114.0 146.0 0.0
8 95.0 99.64 119.0 0.0672 0.0803 0.0842 108.0 118.6 146.0 0.0
16 101.0 105.08 121.0 0.1322 0.1523 0.1584 113.0 120.12 146.0 0.0
32 109.0 113.12 125.0 0.2560 0.2829 0.2936 121.0 128.88 146.0 0.0
64 125.0 128.88 141.0 0.4539 0.4966 0.5120 137.0 142.36 163.0 0.0
128 167.0 167.84 182.0 0.7033 0.7626 0.7665 181.0 181.68 194.0 0.0
256 197.0 204.32 224.0 1.1429 1.2529 1.2995 209.0 216.32 236.0 0.0
512 279.0 280.12 295.0 1.7356 1.8278 1.8351 291.0 292.12 307.0 0.0
1024 422.0 431.08 452.0 2.2655 2.3754 2.4265 434.0 443.08 464.0 0.0
